county,population,unemployment_rate,med_house_income
WEBB,276652,4.2,42000
HIDALGO,868707,7.4,37000
CAMERON,423163,6.9,36600
EL PASO,839238,4.6,44100
NUECES,362294,5.4,51900
ECTOR,166223,4.1,54400
BEXAR,2003554,3.5,54200
VICTORIA,92084,4.8,52200
MIDLAND,176832,3,76300
HARRIS,4713325,5,58700
DALLAS,2635516,3.8,56700
TOM GREEN,119200,3.7,49500
HAYS,230191,3.1,66500
POTTER,117415,3.2,43800
GUADALUPE,166847,3.3,66900
BASTROP,88723,3.5,63000
LUBBOCK,310569,3.2,47500
TRAVIS,1273954,3,72800
BRAZORIA,374264,5.3,80800
TARRANT,2102515,3.7,65000
COMAL,156209,3.4,72600
MCLENNAN,256623,3.8,47300
ELLIS,184826,3.4,71500
BRAZOS,229211,3.1,46100
BELL,362924,4.2,52200
LIBERTY,88219,7.1,50400
GALVESTON,342139,5.2,69700
FORT BEND,811688,4.6,91700
TAYLOR,138034,3.5,50300
WILLIAMSON,590551,3.2,82100
MONTGOMERY,607391,4.3,77100
ANGELINA,86715,5.1,45300
RANDALL,137713,2.8,63100
KAUFMAN,136154,3.5,65900
JOHNSON,175817,3.8,61800
JEFFERSON,251565,7.3,47900
SMITH,232751,4.1,54000
DENTON,887207,3.3,86500
WICHITA,132230,3.7,44600
GREGG,123945,5.1,47200
CORYELL,75951,4.3,51500
WALKER,72971,4.6,42300
ROCKWALL,104915,3.3,98400
HUNT,98594,3.9,53400
COLLIN,1034730,3.4,95400
GRAYSON,136212,3.5,54400
HENDERSON,82737,4.2,44500
PARKER,142878,3.5,74100
BOWIE,93245,4.5,49200
ORANGE,83396,6.9,57300